Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,chweight
Total,2011,Rural,Central Highlands,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.247381045100776
Total,2011,Rural,Central Highlands,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.247381045100776
Total,2011,Rural,Central Highlands,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,1.0,2.0,0.0,0.0,0,0,0,0,,0.247381045100776
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.247381045100776
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.5913010346311232
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.5913010346311232
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,2.0,0,0,0,0,,0.5913010346311232
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,1.0,0,0,100,100,100.0,0.5913010346311232
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.5913010346311232
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0.0,0.5913010346311232
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.5913010346311232
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,2.0,0,0,100,0,,0.5913010346311232
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.277549465235017
Total,2011,Rural,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,1.0,3.0,0,100,100,0,100.0,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,0,100,100,0,100,,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,1.0,0,0,0,0,,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,0.0,2.0,0,0,0,0,0.0,0.277549465235017
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.277549465235017
Total,2011,Urban,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,1.0,0,0,100,0,,0.13306326674079091
Total,2011,Urban,Central Highlands,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,3.0,0,0,100,100,100.0,0.13306326674079091
Total,2011,Urban,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,4.0,1.0,2.0,0,0,100,0,,0.13306326674079091
Total,2011,Urban,Central Highlands,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.13306326674079091
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,2.0,0,0,100,0,,0.4314084079196459
Total,2011,Rural,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,100,,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4314084079196459
Total,2011,Rural,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.4314084079196459
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.4314084079196459
Total,2011,Rural,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.0,0.0,1.0,0.0,0,0,0,0,0.0,0.558115772483458
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,2.0,1.0,0.0,1.0,0,0,100,0,0.0,0.558115772483458
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,2.0,0,0,100,100,100.0,0.558115772483458
Total,2011,Rural,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,2.0,0,0,100,0,,0.558115772483458
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.558115772483458
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,100,,,0.0,2.0,0.0,0.0,0,0,0,0,,0.558115772483458
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,0.0,2.0,0,0,0,0,0.0,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,100,,,0.0,0.0,0.0,0.0,0,0,0,0,,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.16592631073832537
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.3258189374498025
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,100,0,0,100,0,0,100,,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3258189374498025
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.3258189374498025
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,100,,100.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.3258189374498025
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,1.0,0,0,0,0,,0.3258189374498025
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.3258189374498025
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,2.0,0,0,0,0,,0.3258189374498025
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,,,0.0,0.0,0.0,1.0,0,0,0,0,,0.3258189374498025
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,4.0,0.0,2.0,0,0,100,0,,0.21721262496653498
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,0.21721262496653498
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,0.0,0.0,0.0,3.0,0,100,0,0,100.0,0.21721262496653498
Total,2011,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,5.0,0.0,4.0,3.0,0,0,100,0,,0.21721262496653498
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,0.0,3.0,0,100,0,0,100.0,0.21721262496653498
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,2.0,0.0,0.0,1.0,0,0,0,0,0.0,0.21721262496653498
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.21721262496653498
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.21721262496653498
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.21721262496653498
Total,2011,Urban,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.317185693975141
Total,2011,Urban,Central Highlands,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,3.0,2.0,1.0,2.0,0,0,100,0,0.0,0.317185693975141
Total,2011,Urban,Central Highlands,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,2.0,0,0,100,0,,0.317185693975141
Total,2011,Urban,Central Highlands,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,2.0,0.0,1.0,0,0,0,0,0.0,0.317185693975141
Total,2011,Urban,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,2.0,1.0,1.0,2.0,0,0,100,0,0.0,0.317185693975141
Total,2011,Urban,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,0.0,1.0,0.0,3.0,0,100,100,0,100.0,0.317185693975141
Total,2011,Rural,Central Highlands,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,2.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,100,,100.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,0.0,0.0,0.0,2.0,100,0,0,0,100.0,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,1.0,3.0,0,100,100,0,100.0,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,0.0,0.0,0.0,2.0,100,0,0,0,100.0,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,1.0,2.0,0,0,0,0,0.0,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,0.0,2.0,0,0,0,0,0.0,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,100,0,100,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,100,0,100,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poor,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,1.0,0.0,1.0,2.0,0,0,100,0,,0.3831389357048604
Total,2011,Rural,Central Highlands,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,100,,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3831389357048604
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,4.0,3.0,0.0,3.0,0,0,100,0,,0.3921894617451327
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,3.0,2.0,0.0,4.0,0,100,100,0,100.0,0.3921894617451327
Total,2011,Rural,Central Highlands,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,3.0,3.0,0.0,1.0,0,0,100,0,0.0,0.3921894617451327
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.3921894617451327
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.3921894617451327
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.3921894617451327
Total,2011,Rural,Central Highlands,Poor,Other/Missing,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.3921894617451327
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,100,,,0.0,0.0,0.0,0.0,0,0,0,0,,0.3921894617451327
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,100,0,0,0,0,100,0,100,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.3921894617451327
Total,2011,Rural,Central Highlands,Poor,Other/Missing,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,1.0,0,0,100,0,,0.3921894617451327
Total,2011,Rural,Central Highlands,Poor,Other/Missing,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,0,100,100,100,100,,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3921894617451327
Total,2011,Urban,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,1.0,1.0,1.0,1.0,0,0,100,100,100.0,0.19185866367276827
Total,2011,Urban,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,0.0,2.0,0,0,100,100,100.0,0.19185866367276827
Total,2011,Urban,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,0.19185866367276827
Total,2011,Urban,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,1.0,1.0,0.0,0,0,0,0,,0.19185866367276827
Total,2011,Urban,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,4.0,0.0,2.0,0,0,100,0,,0.19185866367276827
Total,2011,Urban,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,1.0,3.0,0,0,100,0,,0.19185866367276827
Total,2011,Rural,Central Highlands,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,0.41029051382567727
Total,2011,Rural,Central Highlands,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,3.0,0.0,1.0,3.0,100,0,100,0,100.0,0.41029051382567727
Total,2011,Rural,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.41029051382567727
Total,2011,Rural,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.41029051382567727
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,3.0,0,0,100,100,100.0,0.41029051382567727
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,1.0,0.0,0.0,2.0,0,0,0,0,0.0,0.41029051382567727
Total,2011,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,1.0,0.0,0.0,0.0,0,0,0,0,,0.41029051382567727
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.41029051382567727
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.41029051382567727
Total,2011,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,2.0,0.0,0.0,0.0,0,0,0,0,,0.41029051382567727
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,0.0,3.0,0,0,100,100,100.0,0.4404589339599183
Total,2011,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,100,,,0.0,0.0,0.0,0.0,0,0,0,0,,0.4404589339599183
